type,org_uuid,went_public_on,share_price_usd,valuation_price_usd,money_raised_usd
ipo,fd80725f-53fc-7009-9878-aeecf1e9ffbb,1986-03-13,0.0,0.0,0.0
ipo,756936c0-c335-f0ae-0a3d-fe26bdff5695,1978-01-13,0.0,0.0,300000000.0
ipo,73296f0d-85a5-78d5-90b3-86c5f8981ba9,2006-10-22,16.0,160000000.0,145000000.0
ipo,ff8439cf-097c-a88a-9bb9-dd83d23aa14b,1999-12-02,0.0,0.0,35000000.0
ipo,ab8e5ba4-df5d-121b-93b6-eae7a0c89245,1988-08-12,0.0,6000000000.0,0.0
ipo,fbef6457-9149-72cf-af57-7cfbe15c05f8,1993-03-19,0.0,0.0,0.0
ipo,b0c99c14-aa1d-1653-ef65-b8d8193b91a0,2010-07-27,0.0,0.0,15000000.0
ipo,172a34b4-9edd-b0ae-c768-cbfa8e1ab52c,1986-08-22,0.0,0.0,0.0
ipo,2aca697b-a2cf-e00b-e186-bbeb82608e9f,2000-01-01,0.0,0.0,0.0
ipo,d340f983-7629-dd4a-51de-ed59755880fb,1993-10-08,0.0,2000000000.0,0.0
ipo,c052599a-0b87-5e7b-f170-e3c25fcceb36,1996-12-06,0.0,0.0,0.0
ipo,c273424a-c118-e7ab-29a6-843775e7e6d0,2005-08-05,27.0,117311679.0,109090854.0
ipo,71d51015-1800-ed61-8bc3-8dca49caec15,1996-04-12,13.0,848000000.0,33800000.0
ipo,e5c42bcc-71b4-0857-8782-ffae92a45eae,1986-04-11,0.0,0.0,0.0
ipo,191cb95d-791b-b179-7396-d8bb50d2c270,2006-08-10,0.0,100000000.0,0.0
ipo,14899c44-d90d-5880-0dcc-e7a4f1a140f2,1987-10-01,0.0,0.0,0.0
ipo,7d0e20ae-fec0-f3ba-0298-84511477ed22,1989-06-30,0.0,0.0,0.0
ipo,70756e51-3859-a1ae-8edb-d7eeaf5ed342,2006-12-07,0.0,0.0,47438834.0
ipo,c13fc3f5-6944-d73a-5ffe-b458060dac4e,1999-02-12,0.0,0.0,0.0
ipo,fbc7746d-86e0-8fd6-19d8-69280c686d02,1978-01-13,0.0,0.0,0.0
ipo,3cae090b-ed2d-95f8-79a9-e32ca480258f,2004-06-25,0.0,11000000000.0,0.0
ipo,ee9393bc-9830-fe9a-0dbb-a751f806b552,1998-02-06,14.0,282000000.0,42000000.0
ipo,31a4e4b9-096e-12e5-1da4-d76f400bfcc0,1996-08-16,26.25,0.0,46400000.0
ipo,b69ecc7f-c29f-093b-33bc-7cd8e3193868,2011-10-28,0.0,14000000000.0,0.0
ipo,db5590d0-3e95-9da2-a526-2c27fd1ae83f,2007-11-20,10.0,497000000.0,107900000.0
ipo,e07cf59c-cd8f-7c84-52c9-8f1b2fe7418a,2002-02-22,0.0,0.0,0.0
ipo,3e3e8a2f-3700-f2c9-6568-4aaae02c07c6,1991-12-20,16.0,0.0,50000000.0
ipo,a44c281d-fb18-a03b-61f9-5b1230e6767d,2003-01-10,0.0,0.0,0.0
ipo,379de209-4152-441b-c243-57f1adae009f,2003-07-17,0.0,0.0,0.0
ipo,c7063136-9cb8-018f-4f47-f5d2d82722eb,2006-09-14,0.0,0.0,0.0
ipo,f908683c-5630-9ceb-e947-de13d2a04d3f,1978-01-13,0.0,0.0,0.0
ipo,e5c00cbd-ff5b-5600-d13a-6abc1181d1ed,2000-08-11,12.0,0.0,240000000.0
ipo,f8a5330b-399e-7845-7315-c351c2b2acd4,1996-11-22,0.0,0.0,0.0
ipo,7f1eeb05-c9d0-1ec9-b238-07302ffa7735,1995-11-17,0.0,0.0,0.0
ipo,c753860f-ab3d-816a-2dc5-9b26c6b9725b,1999-07-20,0.0,0.0,2000000000.0
ipo,e0906c05-fae5-9591-ba5f-2142d8b0065a,1990-02-23,0.0,0.0,0.0
ipo,5a6207e2-b868-9f41-5178-8d51d2c40a93,1989-10-06,0.0,0.0,0.0
ipo,ee17319e-f5ee-9c9a-6500-edf82b4fbf05,1999-01-29,12.0,626000000.0,42000000.0
ipo,e693e2f0-50bb-05ab-8a27-4078f5dacf11,1983-12-02,0.0,0.0,0.0
ipo,1e4f199c-363b-451b-a164-f94571075ee5,1971-10-13,0.0,0.0,0.0
ipo,32874923-7c6f-25a9-bcc7-1ac062f484e0,2008-12-17,0.0,0.0,0.0
ipo,6ee9a3a7-8dbe-b03a-ad10-99762f16ab6f,2000-04-20,0.0,0.0,0.0
ipo,a79798ae-6632-f045-f66e-98a3e688833a,1999-06-01,0.0,0.0,0.0
ipo,443b284c-9939-cbaa-e4e0-961b6819ab69,1993-11-05,0.0,0.0,0.0
ipo,8c1cd4d3-f58d-84ba-b6b3-848ebb83297b,1985-07-05,0.0,0.0,0.0
ipo,bd492a8f-7947-0bad-8349-a295befa8515,1996-07-05,0.0,0.0,0.0
ipo,e3fbf2ab-4862-b7cc-1b4e-9382668c0836,1998-10-16,0.0,0.0,0.0
ipo,419ffbed-89a1-3602-1aa2-91d18d6ba7c8,2000-04-07,18.0,349000000.0,72000000.0
ipo,e25d76f1-338c-9fa4-0b13-56a65e5045af,2012-06-27,0.0,0.0,0.0
ipo,bd96fc35-a022-289d-ee43-ee1aab43298f,2008-08-12,2.2,0.0,37800000.0
ipo,1f93544d-3abf-ddb9-3aac-07b39f1efad0,2007-01-11,11.0,0.0,31900000.0
ipo,b52ccac4-4413-7a3d-e2b2-f9e13d29d687,2007-04-05,0.0,0.0,0.0
ipo,5b544a09-1e45-74ac-9234-23a33895493b,1999-07-13,0.0,230000000.0,72000000.0
ipo,a597782e-dde4-c51a-a83f-aaa2de65d665,2007-03-08,25.0,0.0,600000000.0
ipo,5dd97714-bf05-1e44-e2bd-c7be19421f8b,1999-12-09,30.0,171600000.0,132000000.0
ipo,802316cc-a5aa-2492-cf2b-1ab481fb5c18,2008-07-24,16.5,0.0,500000000.0
ipo,ad3593b5-6323-310c-6b8d-0892fed37406,2008-05-16,0.0,0.0,0.0
ipo,c40a2dd5-f61a-fc51-7b22-98a9d549ac04,1978-01-13,0.0,0.0,0.0
ipo,486a2039-b714-dc0d-e27f-b27a3f9c2e50,2006-08-31,0.0,0.0,0.0
ipo,c768a295-bd99-2f35-ae23-3a525d328d1e,1991-01-01,0.0,0.0,0.0
ipo,771ea53a-9289-52f0-b573-69ed67ca2c75,1993-03-26,0.0,0.0,0.0
ipo,4867d9a2-e744-8012-9c75-64f21e6b1656,2008-08-01,0.0,300000000.0,0.0
ipo,f2228766-a19f-97d4-64e8-f197718c86df,2010-01-15,0.0,0.0,0.0
ipo,e33a7904-11f0-2a89-16f5-c34e9108abd5,1990-01-02,0.0,0.0,0.0
ipo,98ced7fb-c747-4920-9470-ebcda6f1077b,1999-01-15,0.0,0.0,0.0
ipo,8834854e-eece-d791-777d-6b22f40bb79c,2000-07-07,0.0,0.0,0.0
ipo,5d4bc68d-8966-3f2d-5a48-a1ba439427fe,1985-08-09,0.0,0.0,0.0
ipo,93853d8a-48b8-f3f1-c162-7c1d3b856082,1978-01-13,0.0,0.0,0.0
ipo,52ae68e9-248a-8d03-a3d0-f48850911260,2003-01-10,0.0,0.0,0.0
ipo,cdf00ff1-6d7a-ef5b-59fc-67432a6e10fa,2008-05-14,0.0,0.0,0.0
ipo,b62cc822-ce0a-bd40-9d53-c709c2410281,1993-11-12,0.0,0.0,0.0
ipo,abf527f3-3065-3e2b-a064-8e5486c236de,2013-11-22,0.0,0.0,0.0
ipo,95bbd5b8-122f-7cb9-95ba-27ab9619980f,2004-07-09,12.0,0.0,69300000.0
ipo,4218b94a-8def-98e7-5e5c-b25cbb1ce874,1996-02-02,0.0,0.0,0.0
ipo,3abdd26b-df6d-573a-5900-bd62a174e007,1998-11-01,0.0,0.0,0.0
ipo,c1a672fb-98fb-5284-1236-bdfa905a982e,1994-07-08,0.0,0.0,0.0
ipo,8adadbfb-be63-6602-8ca0-b037397a7038,1978-11-06,16.0,662000000.0,115000000.0
ipo,7103e064-eb56-1aeb-af09-2a4d53d03e16,2013-06-28,0.0,0.0,0.0
ipo,fe1e058d-f6c2-5bef-6519-98875996bf52,2007-05-02,11.0,69000000.0,44000000.0
