org_uuid,org_name,type,parent_uuid,parent_name
d70777cc-14bd-2416-0692-5a483781b78b,Fox Interactive Media,organization,ddfe6b91-4541-7f5c-7d6a-724f75c98088,21st Century Fox
3d9e4070-1a25-7491-d1a9-17bec9f6361b,Hutchison Whampoa,organization,5858c937-702e-c278-1725-2b5e02471482,Cheung Kong Holdings
f09c1228-2e7d-1889-6647-ba5021b2e4ea,CBS Entertainment,organization,cd19ea0d-745c-e3b6-d819-30b91caf8ebb,CBS Corporation
91f5ca18-e026-9482-8e4f-22593943e0f5,Plaxo,organization,fbc7746d-86e0-8fd6-19d8-69280c686d02,Comcast
fc89cfde-a28e-e12c-443c-edccb6c93fd4,AddThis,organization,bef5bd4b-72c6-7877-d7ab-8bbe43f7bda7,Oracle
3f2b5885-4257-0d74-f05a-7b9a89bf77f7,Hearst Communications,organization,a9395d36-111d-1bf8-1a8e-7114aa1b37d3,The Arena Group
c0b362f3-8909-2424-b225-7925b1cff6e1,Liberty Associated Partners,organization,7f693ef5-8ff9-e713-e23e-c2df90f7431c,Liberty Media
79297d7a-2f48-e004-b9c4-0a242ba21a4b,Fidelity Ventures,organization,fd44c344-e3af-a5da-c703-eca78313d01a,Fidelity
1029072c-c37e-5a60-801f-dfa5ce1fc337,REV,organization,757f3fc7-7033-667c-2f3a-0553316b595f,RELX Group plc
ab953126-0de3-ff97-9678-cc4fbd89d73d,SodaHead,organization,8825f1bd-cf80-1b9d-9522-f74c692458ee,Prodege
a4aa27bd-c688-65b1-a02a-4f02d021d958,NBCUniversal,organization,fbc7746d-86e0-8fd6-19d8-69280c686d02,Comcast
9a0e860a-7743-28e2-05c0-2b08646d0fe1,Skype,organization,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft
7d947a72-cacb-f9b2-1b7e-757b33fa09d8,BDC Venture Capital,organization,858da63b-4d0e-2806-f8a0-4b647ce9efb3,Business Development Bank of Canada
064d4b65-2a33-4b0e-a538-5f2cfd42f41a,blinkx,organization,06b4480c-7eb9-01a3-dee8-e3dccdde0000,RhythmOne
4ab1b039-d9ce-f96a-06e7-f737e37eee08,Norwest Venture Partners,organization,3e683191-c38b-5166-9ae3-8bfc3b975859,Wells Fargo
309e0502-ad2f-35ea-ee52-38dcb58702fd,Linden Lab,organization,cfb13d3b-7f53-9d7b-8452-5957d515e6d8,Second Life
86da6213-5b43-6419-4047-472102ccf66f,LinkedIn,organization,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft
97fb3ff9-d675-c7aa-a288-2cb2d74a9d47,Jamendo,organization,34cbbc3e-572c-4d15-b2c9-c24b3deff721,AudioValley
036859ec-45a0-136d-c7ae-205a6d541a69,Vulcan Capital,organization,e3efb139-9dae-d37e-b5b6-1d8e4728b7dd,Vulcan
84e45eb1-4a2a-19e5-8868-6def7d0fc049,SK Telecom,organization,b0fc9b2f-f590-96b2-6c24-ab43ecf976cb,SK Group
8843b4a1-19c0-390b-507c-e6639ac8e8f4,hi5,organization,7eb5e674-2d03-b456-211f-cf08e24a4150,if(we)
bf313e68-63a0-8281-a809-bc824b4c51f2,Sony,organization,354efe91-6640-45e6-a4ed-e52bf512b38c,Sony Biz Networks Corporation
53ab538b-920e-8e9c-f041-69c2dec3c822,Condé Nast,organization,010c0b83-22eb-4602-8a7c-b992c90b91f0,Advance
0211e5cb-0f47-7275-0e73-bc0f5628615a,Vudu,organization,25745e2f-8996-6c5a-bd0d-e102463b1276,Walmart
ec26a756-d387-a455-c6fc-90fe11ece02c,SoftBank Capital,organization,1a410398-3a72-5882-99b8-6318cf594850,SoftBank
e07f0f04-9145-db9a-5c2b-b4e0d93b2592,GE Commercial Finance,organization,420afb30-906a-3282-8b9c-8c4f87240d5c,GE Capital
cf3a40e6-920e-edfd-569e-371f84e0a4e4,Maverick Ventures,organization,8b5d5ef9-87cb-4d35-8c6f-c1ee4acc6d16,Maverick Capital
0cf83157-f7f1-fd5a-148d-a57060f22e5d,AOL,organization,7c28cb05-95bc-4b84-98b1-88064eee80f4,Verizon Media
f1f92e31-3440-8a82-9508-8e5e32dfd212,IMVU,organization,20e6d30a-45d6-4547-8abd-601c24dcc652,Together Labs
51ef0cda-09c1-f1ce-3a68-42319f27b4ce,Kongregate,organization,b086c16b-062f-f73e-ddee-6f7749d30406,GameStop
d3646878-c4c7-04d9-6b62-ef2aae4d6744,TechCrunch,organization,7c28cb05-95bc-4b84-98b1-88064eee80f4,Verizon Media
7f4501cf-e618-a14e-6394-bbf62d9dfb88,A9,organization,05554f65-6aa9-4dd1-6271-8ce2d60f10c4,Amazon
c39b1a6a-8237-1069-4621-df1c010be6e4,Doostang,organization,34e68c12-485a-c9b0-2065-925f3e11feef,Talent Inc.
6a4a2e74-0801-24b7-d755-881b07025f17,Trulia,organization,b8383b43-e059-21d0-7b3f-592b4b863295,Zillow Group
33e28a0a-541d-5c1c-a002-0d83147377f0,DB Capital Ventures,organization,e649d0c7-3f41-e2c0-03b7-867ab82fb8d2,Deutsche Bank
e7eb0e8d-f85a-813d-7646-3167f606d028,Shopping.com,organization,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1,eBay
19154570-414d-b054-6b09-dc4a6597f822,dpreview,organization,05554f65-6aa9-4dd1-6271-8ce2d60f10c4,Amazon
d300b754-8f03-f143-a083-09c355f716ba,Mitsubishi UFJ Capital,organization,d4974159-c376-5f1b-93c5-0cc0c187423b,Mitsubishi UFJ Financial Group
5e92f940-f5f1-ef0c-6314-2e464a717230,Nomura Holdings,organization,6498b48d-674d-4dc5-0f2a-bcc038360656,Nomura
018d819e-7206-9a0a-4845-5bdfe800b412,Tribal Fusion,organization,adcadaaa-f1a3-1d6f-8808-b2f960ee659a,Exponential
584d5081-79f6-83be-acc9-8b5d47cb5484,OpenTable,organization,935f01aa-9de7-9683-827a-c8eac0f9af2d,Booking Holdings
12d39aec-df9e-2266-5912-f17d1c237690,Comdisco Ventures,organization,d396cea7-2167-e100-2c4e-567d40c4214e,Comdisco
689982a1-85c0-109a-1ee5-cc3d4e2a1065,Desjardins Venture Capital,organization,0ab03b3b-85b5-d5a9-dfb5-91544bb9ede3,Desjardins Group
d6cde56f-ad92-487c-2f72-177382a1f3fd,MicroPlace,organization,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1,eBay
b861cfa9-cd77-0475-b48f-ff4de11ec721,CircleLending,organization,a5eaadd8-ff2d-41b4-b191-3cae556866d8,National Family Mortgage
0686cdc6-d6e7-0417-8329-29b5c85afeef,Seedcamp,organization,b32c7a61-5fd6-2619-3e08-0055a04825e2,Seedsummit
